,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-03-25,1.832,1.916,1.8,1.818,1.818,10666085
1,2020-03-26,1.818,1.84,1.71,1.76,1.76,3691028
2,2020-03-27,1.774,1.918,1.762,1.892,1.892,5741225
3,2020-03-30,2.05,2.43,2.01,2.32,2.32,22157636
4,2020-03-31,2.41,2.44,1.96,2.22,2.22,12089205
5,2020-04-01,2.06,2.145,1.984,2.07,2.07,4682627
6,2020-04-02,2.07,2.095,1.872,1.928,1.928,5270652
7,2020-04-03,1.992,2.24,1.95,2.205,2.205,6460688
8,2020-04-06,2.45,2.6,2.3,2.475,2.475,14917949
9,2020-04-07,2.54,2.55,2.37,2.46,2.46,5972986
10,2020-04-08,2.75,2.99,2.68,2.99,2.99,17422994
11,2020-04-09,3.1,5.98,3.08,4.285,4.285,34625461
12,2020-04-14,5.67,5.9,5.13,5.64,5.64,14575299
13,2020-04-15,5.25,5.25,3.76,4.9,4.9,14292538
14,2020-04-16,5.72,5.75,4.7,5.0,5.0,11631947
15,2020-04-17,4.8,4.95,4.32,4.8,4.8,6083107
16,2020-04-20,4.61,4.75,4.36,4.54,4.54,4371702
17,2020-04-21,4.15,4.38,3.71,3.71,3.71,6393998
18,2020-04-22,3.4,4.52,3.12,4.22,4.22,11610064
19,2020-04-23,4.16,4.49,3.97,4.21,4.21,4669915
20,2020-04-24,4.055,4.42,4.05,4.275,4.275,2293626
21,2020-04-27,4.8,4.93,4.57,4.795,4.795,5528434
22,2020-04-28,4.85,4.95,4.605,4.81,4.81,2851269
23,2020-04-29,5.29,5.37,4.9,4.935,4.935,7428680
24,2020-04-30,4.77,4.9,4.6,4.67,4.67,2889283
25,2020-05-04,4.5,4.8,4.085,4.57,4.57,2086491
26,2020-05-05,4.6,4.94,4.48,4.89,4.89,1859348
27,2020-05-06,4.86,5.06,4.705,4.85,4.85,2349925
28,2020-05-07,4.8,4.9,4.675,4.725,4.725,1097137
29,2020-05-08,4.695,4.72,4.4,4.54,4.54,1500828
30,2020-05-11,4.49,4.645,4.25,4.525,4.525,1144508
31,2020-05-12,4.435,4.56,4.11,4.235,4.235,1853304
32,2020-05-13,4.09,4.63,3.85,4.35,4.35,3893916
33,2020-05-14,4.35,4.45,3.55,3.89,3.89,3585247
34,2020-05-15,3.75,3.92,3.37,3.455,3.455,4416063
35,2020-05-18,3.35,4.25,3.31,3.905,3.905,4973867
36,2020-05-19,4.0,4.195,3.805,3.915,3.915,2187555
37,2020-05-20,3.95,3.95,3.6,3.665,3.665,1769130
38,2020-05-21,3.68,3.74,3.49,3.715,3.715,965426
39,2020-05-22,3.79,3.79,3.49,3.545,3.545,1355964
40,2020-05-25,3.5,3.535,3.2,3.35,3.35,2282293
41,2020-05-26,3.23,3.72,3.21,3.635,3.635,2445528
42,2020-05-27,3.775,3.79,3.385,3.45,3.45,1791547
43,2020-05-28,3.345,3.5,3.27,3.35,3.35,1150971
44,2020-05-29,3.335,3.62,3.33,3.52,3.52,1279329
45,2020-06-01,3.55,4.0,3.55,3.89,3.89,2587740
46,2020-06-02,4.055,4.07,3.4,3.42,3.42,4605031
47,2020-06-03,3.46,3.52,3.055,3.14,3.14,4114018
48,2020-06-04,2.905,2.97,2.57,2.745,2.745,6321566
49,2020-06-05,2.71,3.19,2.58,2.885,2.885,4311380
50,2020-06-08,2.83,2.91,2.62,2.675,2.675,2819558
51,2020-06-09,2.65,2.87,2.65,2.67,2.67,1685015
52,2020-06-10,2.695,2.81,2.61,2.8,2.8,1421059
53,2020-06-11,2.8,2.86,2.67,2.67,2.67,1124561
54,2020-06-12,2.71,2.75,2.43,2.5,2.5,2263495
55,2020-06-15,2.595,2.6,2.31,2.445,2.445,2361373
56,2020-06-16,2.42,2.78,2.385,2.71,2.71,2837419
57,2020-06-17,2.695,2.865,2.645,2.69,2.69,2149316
58,2020-06-18,2.94,3.075,2.66,2.66,2.66,3433250
59,2020-06-19,2.69,2.74,2.575,2.715,2.715,901453
60,2020-06-22,2.75,2.88,2.63,2.63,2.63,919371
61,2020-06-23,2.66,2.69,2.5,2.515,2.515,1067527
62,2020-06-24,2.52,2.71,2.46,2.565,2.565,1362311
63,2020-06-25,2.55,2.92,2.545,2.875,2.875,3052239
64,2020-06-26,2.92,2.98,2.63,2.685,2.685,2117711
65,2020-06-29,2.73,3.065,2.7,2.97,2.97,3454155
66,2020-06-30,2.96,3.015,2.765,2.82,2.82,2289643
67,2020-07-01,2.855,2.95,2.72,2.91,2.91,1699710
68,2020-07-02,2.87,2.97,2.83,2.875,2.875,1087984
69,2020-07-03,2.9,3.22,2.87,3.2,3.2,3972298
70,2020-07-06,3.23,3.355,3.085,3.2,3.2,2607910
71,2020-07-07,3.18,3.225,3.055,3.22,3.22,1322873
72,2020-07-08,3.21,3.21,3.06,3.095,3.095,960443
73,2020-07-09,3.05,3.08,2.855,2.885,2.885,1060587
74,2020-07-10,2.86,3.12,2.86,3.005,3.005,1271842
75,2020-07-13,3.33,3.34,2.9,2.985,2.985,3993094
76,2020-07-14,3.0,3.005,2.76,2.79,2.79,1831761
77,2020-07-15,2.85,2.94,2.81,2.865,2.865,1054505
78,2020-07-16,2.93,2.93,2.8,2.865,2.865,708455
79,2020-07-17,2.9,3.05,2.855,2.975,2.975,1363357
80,2020-07-20,3.1,3.1,2.875,2.915,2.915,1392318
81,2020-07-21,2.905,3.09,2.795,3.01,3.01,1509013
82,2020-07-22,2.95,3.33,2.915,3.24,3.24,3126315
83,2020-07-23,3.2,3.24,2.97,3.0,3.0,1598569
84,2020-07-24,2.96,3.08,2.92,2.98,2.98,763014
85,2020-07-27,3.09,3.29,3.085,3.205,3.205,2687509
86,2020-07-28,3.245,3.34,3.125,3.22,3.22,1358967
87,2020-07-29,3.24,3.56,3.215,3.4,3.4,3489816
88,2020-07-30,3.45,3.535,3.26,3.31,3.31,1755671
89,2020-07-31,3.335,3.46,3.33,3.365,3.365,1025855
90,2020-08-03,3.45,3.45,3.21,3.245,3.245,2124755
91,2020-08-04,3.27,3.29,3.105,3.17,3.17,1248363
92,2020-08-05,3.22,3.61,3.13,3.61,3.61,1874862
93,2020-08-06,3.55,3.805,3.44,3.56,3.56,3333303
94,2020-08-07,3.56,3.68,3.5,3.6,3.6,1317064
95,2020-08-10,3.59,3.63,3.45,3.49,3.49,1165873
96,2020-08-11,3.535,3.535,3.355,3.39,3.39,1215794
97,2020-08-12,3.435,3.44,3.29,3.33,3.33,819418
98,2020-08-13,3.28,3.49,3.23,3.43,3.43,1134570
99,2020-08-14,3.455,3.47,3.35,3.385,3.385,413309
100,2020-08-17,3.39,3.39,3.32,3.35,3.35,615864
101,2020-08-18,3.35,3.35,3.26,3.28,3.28,582398
102,2020-08-19,3.285,3.525,3.23,3.49,3.49,1129949
103,2020-08-20,3.505,3.505,3.305,3.34,3.34,843532
104,2020-08-21,3.31,3.385,3.25,3.275,3.275,626881
105,2020-08-24,3.35,3.35,3.26,3.285,3.285,490068
106,2020-08-25,3.29,3.33,3.23,3.23,3.23,395563
107,2020-08-26,3.22,3.25,2.95,3.22,3.22,1148352
108,2020-08-27,3.4,3.5,3.31,3.45,3.45,2711544
109,2020-08-28,3.42,3.46,3.35,3.4,3.4,929343
110,2020-08-31,3.405,3.68,3.385,3.55,3.55,1420273
111,2020-09-01,3.55,3.645,3.5,3.615,3.615,1219554
112,2020-09-02,3.6,3.61,3.455,3.505,3.505,717829
113,2020-09-03,3.5,3.5,3.275,3.295,3.295,914046
114,2020-09-04,3.43,3.565,3.34,3.37,3.37,1183364
115,2020-09-07,3.35,3.43,3.29,3.3,3.3,608044
116,2020-09-08,3.325,3.445,3.265,3.36,3.36,871670
117,2020-09-09,3.39,3.46,3.33,3.415,3.415,735339
118,2020-09-10,3.415,3.53,3.415,3.49,3.49,784353
119,2020-09-11,3.52,3.6,3.45,3.565,3.565,888371
120,2020-09-14,3.59,3.68,3.575,3.595,3.595,792630
121,2020-09-15,3.6,3.72,3.52,3.7,3.7,1125433
122,2020-09-16,3.72,4.135,3.7,4.075,4.075,3660920
123,2020-09-17,4.07,4.45,4.03,4.175,4.175,4635340
